timestamp,battery_voltage,engine_speed,vehicle_speed,coolant_temp,throttle_position,brake_pressure,fuel_level,oil_pressure,gear_position,ambient_temp,ecu_state,ecu_fault_latched
380,12.5,0,0,25,30,0,60,1.2,0,25,3,0
390,12.5,0,0,25,30,0,60,1.2,0,25,3,0
400,12.5,0,0,25,30,0,60,1.2,0,25,3,0
410,12.5,0,0,25,30,0,60,1.2,0,25,3,0
420,12.5,0,0,25,30,0,60,1.2,0,25,3,0
430,12.5,0,0,25,30,0,60,1.2,0,25,3,0
440,12.5,2660,44.3333,90,30,0,55,2.40909,3,25,4,0
450,12.5,2660,44.3333,90,30,0,55,2.40909,3,25,4,0
460,12.5,2660,44.3333,90,30,0,55,2.40909,3,25,4,0
470,12.5,2660,44.3333,90,30,0,55,2.40909,3,25,4,0
480,12.5,2660,44.3333,90,30,0,55,2.40909,3,25,4,0
490,12.5,2660,44.3333,90,30,0,55,2.40909,3,25,4,0
500,12.5,2660,44.3333,90,30,0,55,2.40909,3,25,4,0
500,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
510,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
520,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
530,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
540,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
550,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
560,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
570,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
580,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
590,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
600,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
610,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
620,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
630,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
640,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
650,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
660,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
670,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
680,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
690,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
700,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
710,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
720,12.5,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
720,20,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
720,16,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
720,16,1500,44.3333,90,30,0,55,2.40909,3,25,4,0
720,12.5,0,0,25,0,0,60,1.2,0,25,1,0
730,12.5,0,0,25,0,0,60,1.2,0,25,1,0
740,12.5,0,0,25,0,0,60,1.2,0,25,1,0
750,12.5,0,0,25,0,0,60,1.2,0,25,1,0
760,12.5,0,0,25,0,0,60,1.2,0,25,1,0
770,12.5,0,0,25,0,0,60,1.2,0,25,1,0
780,12.5,0,0,25,0,0,60,1.2,0,25,1,0
790,12.5,0,0,25,0,0,60,1.2,0,25,1,0
800,12.5,0,0,25,0,0,60,1.2,0,25,2,0
810,12.5,0,0,25,0,0,60,1.2,0,25,2,0
820,12.5,0,0,25,0,0,60,1.2,0,25,2,0
830,12.5,0,0,25,0,0,60,1.2,0,25,2,0
840,12.5,0,0,25,0,0,60,1.2,0,25,2,0
850,12.5,0,0,
